,alpha
0,1.109468228422286
1,1.097572993300368
2,1.0844413162166524
3,1.0696700312637226
4,1.06212227966098
5,1.0542879876044953
6,1.0440910505991423
7,1.0353065922994065
8,1.0311161904359285
9,1.024771344640951
10,1.0203049039601342
11,1.0144353533059751
12,1.0124771133363533
13,1.0100161531743757
14,1.0085563096846635
15,1.006169910140733
16,1.0050274177600198
17,1.0027335114491827
18,1.0021497686952507
19,1.0016469864106898
20,1.0013129169037478
21,1.0011610687357897
22,1.0009935102493197
23,1.0008190984103598
24,1.0006857376531282
25,1.0005774130038128
26,1.0004722543532318
27,1.0004003039744591
28,1.0003236353996026
29,1.00028174868235
30,1.0002205367716148
31,1.000132465104366
32,1.000114584589069
33,1.0000555147517285
34,1.0000479273645768
35,1.0000345050478507
36,1.0000263395478628
37,1.000021046743013
38,1.000016903347143
39,1.0000144625172116
40,1.000010823034774
41,1.0000090037986102
42,1.0000075756314701
43,1.000006329230513
44,1.0000047398817875
45,1.0000040285827645
46,1.000003298372526
47,1.000002541119942
48,1.0000020532055456
49,1.0000016632432633
50,1.0000014568719677
51,1.000001311366283
52,1.0000009955393134
53,1.0000008412962684
54,1.000000722789609
55,1.0000006371837669
56,1.00000056550371
57,1.0000004641559535
58,1.0000003749062072
59,1.0000002979577551
60,1.0000002546012052
61,1.0000002125511955
62,1.000000166697063
63,1.00000012015581
64,1.0000001030812669
65,1.0000000741980584
66,1.000000065454306
67,1.000000051886678
68,1.0000000274456917
69,1.0000000234225903
70,1.0000000199300347
71,1.0000000168479437
72,1.0000000137996559
73,1.0000000111597396
74,1.000000007705104
75,1.0000000067943822
76,1.0000000007991119
77,1.0000000006978096
78,1.000000000558624
79,1.0000000004369887
80,1.0000000003838332
81,1.0000000003394656
82,1.0000000002664393
83,1.0000000002388167
84,1.0000000001934861
85,1.0000000001021956
86,1.0000000000915097
87,1.0000000000741935
88,1.0000000000557026
89,1.0000000000474176
90,1.0000000000385474
91,1.0000000000154134
92,1.0000000000126146
93,1.0000000000026443
94,1.0000000000022629
95,1.0000000000017912
96,1.00000000000152
97,1.0000000000013571
98,1.00000000000111
99,1.0000000000009721
100,1.0000000000007685
101,1.000000000000246
102,1.0000000000002067
103,1.0000000000001816
104,1.0000000000001026
105,1.0000000000000389
106,1.0000000000000338
107,1.0000000000000118
108,0.9999999999999714
109,0.999999999999978
110,0.9999999999999841
111,0.9999999999999869
112,0.9999999999999897
113,0.9999999999999917
114,0.9999999999999932
115,0.9999999999999942
116,0.9999999999999953
117,0.9999999999999959
118,0.9999999999999963
119,0.9999999999999968
