,energy
0,2.5512624105704553
1,0.09753058719041505
2,0.12077936489385552
3,0.1830043376799492
4,-0.1366765787971963
5,-0.13855266009758102
6,-0.07893825811662591
7,-0.1261984522978678
8,-0.30578370140355193
9,-0.24151493071303354
10,-0.3110893993236485
11,-0.2832027243671208
12,-0.4143654818290066
13,-0.3992887096141763
14,-0.43702139482768143
15,-0.4130376148065714
16,-0.4538159850799777
17,-0.4388821644538992
18,-0.4766532789055152
19,-0.48072165709825415
20,-0.486483459854434
21,-0.49338723430138337
22,-0.49280296166484105
23,-0.4928787475060235
24,-0.4944515076276295
25,-0.49539251055024525
26,-0.4957392867824013
27,-0.49687762770542415
28,-0.49687630116537373
29,-0.49817124107364286
30,-0.4976985393660574
31,-0.4973111184830999
32,-0.4992302978949132
33,-0.4985454959723195
34,-0.49968496665825846
35,-0.49953169235116557
36,-0.4996830549845207
37,-0.49979039350854426
38,-0.4998338909578421
39,-0.4998964983882619
40,-0.49986361867363505
41,-0.4999250940759444
42,-0.4999379274118562
43,-0.4999478489615451
44,-0.4999416581215593
45,-0.4999697719428091
46,-0.4999704815226503
47,-0.49997110276926865
48,-0.49998030042015235
49,-0.49998372927697254
50,-0.49999107121495556
51,-0.49999354034302984
52,-0.4999878915797401
53,-0.49999330368165823
54,-0.4999950163155815
55,-0.49999621130621696
56,-0.499996797944293
57,-0.49999582618941424
58,-0.4999963818898841
59,-0.49999696656529546
60,-0.49999809756531627
61,-0.4999982232227435
62,-0.49999821369702097
63,-0.4999983383555881
64,-0.4999992708670903
65,-0.49999893445105625
66,-0.49999960996947196
67,-0.49999945674051127
68,-0.4999993409925481
69,-0.4999998255885844
70,-0.499999855102126
71,-0.49999986419301684
72,-0.4999998775113521
73,-0.49999989293146313
74,-0.4999998791608942
75,-0.4999999595793474
76,-0.49999996420384357
77,-0.49999999549777496
78,-0.4999999944325678
79,-0.4999999952105987
80,-0.4999999976565426
81,-0.49999999799509603
82,-0.4999999971186017
83,-0.49999999876097
84,-0.4999999981534338
85,-0.4999999975914235
86,-0.4999999995243542
87,-0.499999999284377
88,-0.49999999931007655
89,-0.4999999996380113
90,-0.4999999996348317
91,-0.49999999952801777
92,-0.499999999889014
93,-0.49999999989537236
94,-0.4999999999837504
95,-0.4999999999815438
96,-0.49999999998861233
97,-0.4999999999929271
98,-0.49999999998966743
99,-0.49999999999404166
100,-0.49999999999203715
101,-0.49999999999155287
102,-0.4999999999983754
103,-0.4999999999988694
104,-0.4999999999977523
105,-0.49999999999878963
106,-0.49999999999978695
107,-0.49999999999962236
108,-0.5000000000051189
109,-0.5000000000002528
110,-0.5000000000002225
111,-0.5000000000001111
112,-0.5000000000001094
113,-0.500000000000077
114,-0.5000000000000615
115,-0.5000000000000422
116,-0.5000000000000441
117,-0.5000000000000248
118,-0.5000000000000195
119,-0.5000000000000211
